Training Log for rl_finetuned
==================================================
Epoch 91 | Loss: -0.40 | Avg Makespan: 97.8 | Best: 93.0 | Baseline: 120.4 | LR: 9.948402e-06
Epoch 92 | Loss: -0.23 | Avg Makespan: 95.2 | Best: 88.0 | Baseline: 120.3 | LR: 9.947276e-06
Epoch 93 | Loss: -0.08 | Avg Makespan: 91.8 | Best: 89.0 | Baseline: 120.2 | LR: 9.946138e-06
Epoch 94 | Loss: -0.54 | Avg Makespan: 98.2 | Best: 85.0 | Baseline: 120.4 | LR: 9.944988e-06
Epoch 95 | Loss: 0.42 | Avg Makespan: 91.0 | Best: 84.0 | Baseline: 119.8 | LR: 9.943826e-06
Epoch 96 | Loss: -0.49 | Avg Makespan: 100.8 | Best: 96.0 | Baseline: 119.9 | LR: 9.942652e-06
Epoch 97 | Loss: -0.30 | Avg Makespan: 94.0 | Best: 86.0 | Baseline: 119.9 | LR: 9.941466e-06
Epoch 98 | Loss: -0.44 | Avg Makespan: 96.8 | Best: 95.0 | Baseline: 120.2 | LR: 9.940268e-06
Epoch 99 | Loss: 0.02 | Avg Makespan: 88.8 | Best: 78.0 | Baseline: 119.8 | LR: 9.939057e-06
Epoch 100 | Loss: -0.36 | Avg Makespan: 93.8 | Best: 83.0 | Baseline: 120.0 | LR: 9.937835e-06
Epoch 101 | Loss: 0.53 | Avg Makespan: 88.0 | Best: 78.0 | Baseline: 119.2 | LR: 9.936600e-06
Epoch 102 | Loss: -0.39 | Avg Makespan: 96.5 | Best: 83.0 | Baseline: 119.3 | LR: 9.935354e-06
Epoch 103 | Loss: 0.18 | Avg Makespan: 91.5 | Best: 85.0 | Baseline: 119.0 | LR: 9.934095e-06
Epoch 104 | Loss: -0.04 | Avg Makespan: 93.8 | Best: 86.0 | Baseline: 118.8 | LR: 9.932825e-06
Epoch 105 | Loss: 0.14 | Avg Makespan: 89.2 | Best: 87.0 | Baseline: 118.5 | LR: 9.931542e-06
Epoch 106 | Loss: -0.18 | Avg Makespan: 94.2 | Best: 86.0 | Baseline: 118.5 | LR: 9.930247e-06
Epoch 107 | Loss: -0.17 | Avg Makespan: 91.0 | Best: 85.0 | Baseline: 118.5 | LR: 9.928941e-06
Epoch 108 | Loss: -0.50 | Avg Makespan: 90.5 | Best: 79.0 | Baseline: 118.7 | LR: 9.927622e-06
Epoch 109 | Loss: -0.31 | Avg Makespan: 94.5 | Best: 88.0 | Baseline: 118.8 | LR: 9.926291e-06
Epoch 110 | Loss: -0.02 | Avg Makespan: 97.5 | Best: 90.0 | Baseline: 118.6 | LR: 9.924948e-06
Epoch 111 | Loss: -0.49 | Avg Makespan: 100.8 | Best: 97.0 | Baseline: 118.8 | LR: 9.923593e-06
Epoch 112 | Loss: 0.04 | Avg Makespan: 91.5 | Best: 85.0 | Baseline: 118.5 | LR: 9.922227e-06
