Epoch,Total_Loss,Link_Loss,Prio_Loss
410,0.22924,0.20982,0.01942
411,0.23202,0.21248,0.01954
412,0.23416,0.21463,0.01954
413,0.23127,0.21174,0.01953
414,0.23146,0.21206,0.01940
415,0.23048,0.21035,0.02013
416,0.23633,0.21691,0.01942
417,0.22993,0.21051,0.01941
418,0.23193,0.21253,0.01940
419,0.23198,0.21248,0.01951
420,0.23441,0.21484,0.01957
421,0.23248,0.21280,0.01969
422,0.23206,0.21272,0.01933
423,0.23475,0.21504,0.01971
424,0.23017,0.21076,0.01941
425,0.23409,0.21460,0.01949
426,0.23163,0.21232,0.01931
427,0.23155,0.21223,0.01933
428,0.23319,0.21375,0.01944
429,0.23774,0.21823,0.01951
430,0.22913,0.20944,0.01969
431,0.23170,0.21234,0.01936
432,0.23520,0.21575,0.01945
433,0.23261,0.21315,0.01947
434,0.23277,0.21329,0.01948
435,0.23169,0.21211,0.01958
436,0.23252,0.21304,0.01948
437,0.23377,0.21404,0.01973
438,0.23022,0.21080,0.01943
439,0.23245,0.21313,0.01932
440,0.23261,0.21322,0.01939
441,0.23033,0.21103,0.01931
442,0.23511,0.21581,0.01929
443,0.23211,0.21268,0.01943
444,0.23085,0.21145,0.01940
445,0.23144,0.21207,0.01937
446,0.23194,0.21256,0.01937
447,0.23452,0.21499,0.01952
448,0.22713,0.20778,0.01935
449,0.23027,0.21101,0.01926
450,0.23138,0.21197,0.01940
451,0.23286,0.21350,0.01936
452,0.23028,0.21084,0.01945
453,0.22754,0.20839,0.01915
454,0.23252,0.21315,0.01937
455,0.23089,0.21154,0.01935
456,0.23085,0.21141,0.01944
457,0.23043,0.21112,0.01931
458,0.23033,0.21104,0.01929
459,0.23336,0.21388,0.01948
460,0.22794,0.20867,0.01927
461,0.23217,0.21275,0.01942
462,0.23066,0.21126,0.01940
463,0.23163,0.21198,0.01965
464,0.23149,0.21214,0.01935
465,0.23279,0.21334,0.01945
466,0.23243,0.21311,0.01932
467,0.23300,0.21368,0.01932
468,0.22838,0.20912,0.01926
469,0.23538,0.21599,0.01939
470,0.23139,0.21205,0.01935
471,0.22831,0.20897,0.01934
472,0.23431,0.21490,0.01941
