Training Log for rl_finetuned
==================================================
Epoch 115 | Loss: 0.54 | Avg Makespan: 137.2 | Best: 130.0 | Baseline: 176.0 | LR: 9.918054e-06
Epoch 116 | Loss: 0.95 | Avg Makespan: 138.5 | Best: 121.0 | Baseline: 176.1 | LR: 9.916639e-06
Epoch 117 | Loss: 0.90 | Avg Makespan: 157.0 | Best: 152.0 | Baseline: 176.4 | LR: 9.915212e-06
Epoch 118 | Loss: 1.33 | Avg Makespan: 158.5 | Best: 152.0 | Baseline: 176.8 | LR: 9.913773e-06
Epoch 119 | Loss: 0.98 | Avg Makespan: 151.5 | Best: 134.0 | Baseline: 177.1 | LR: 9.912322e-06
Epoch 120 | Loss: 0.82 | Avg Makespan: 158.2 | Best: 156.0 | Baseline: 177.1 | LR: 9.910859e-06
Epoch 121 | Loss: -0.09 | Avg Makespan: 145.2 | Best: 130.0 | Baseline: 176.6 | LR: 9.909384e-06
Epoch 122 | Loss: 1.11 | Avg Makespan: 149.8 | Best: 131.0 | Baseline: 177.0 | LR: 9.907897e-06
Epoch 123 | Loss: 1.43 | Avg Makespan: 154.2 | Best: 146.0 | Baseline: 177.6 | LR: 9.906398e-06
Epoch 124 | Loss: 1.37 | Avg Makespan: 152.8 | Best: 148.0 | Baseline: 178.0 | LR: 9.904887e-06
Epoch 125 | Loss: 1.87 | Avg Makespan: 161.0 | Best: 155.0 | Baseline: 178.8 | LR: 9.903364e-06
Epoch 126 | Loss: 1.01 | Avg Makespan: 156.0 | Best: 147.0 | Baseline: 179.1 | LR: 9.901829e-06
Epoch 127 | Loss: 0.58 | Avg Makespan: 148.0 | Best: 135.0 | Baseline: 179.1 | LR: 9.900283e-06
Epoch 128 | Loss: 1.05 | Avg Makespan: 159.8 | Best: 149.0 | Baseline: 179.3 | LR: 9.898724e-06
Epoch 129 | Loss: 0.80 | Avg Makespan: 148.8 | Best: 133.0 | Baseline: 179.6 | LR: 9.897153e-06
Epoch 130 | Loss: 1.69 | Avg Makespan: 160.8 | Best: 157.0 | Baseline: 180.3 | LR: 9.895570e-06
Epoch 131 | Loss: 0.57 | Avg Makespan: 154.2 | Best: 145.0 | Baseline: 180.2 | LR: 9.893975e-06
Epoch 132 | Loss: 0.37 | Avg Makespan: 145.2 | Best: 130.0 | Baseline: 180.0 | LR: 9.892369e-06
Epoch 133 | Loss: -0.48 | Avg Makespan: 147.0 | Best: 136.0 | Baseline: 179.5 | LR: 9.890750e-06
Epoch 134 | Loss: 1.20 | Avg Makespan: 152.5 | Best: 132.0 | Baseline: 179.9 | LR: 9.889120e-06
Epoch 135 | Loss: 1.25 | Avg Makespan: 155.5 | Best: 145.0 | Baseline: 180.5 | LR: 9.887477e-06
Epoch 136 | Loss: 1.72 | Avg Makespan: 160.8 | Best: 155.0 | Baseline: 181.2 | LR: 9.885823e-06
Epoch 137 | Loss: 0.46 | Avg Makespan: 147.0 | Best: 142.0 | Baseline: 181.3 | LR: 9.884156e-06
Epoch 138 | Loss: 0.32 | Avg Makespan: 150.8 | Best: 144.0 | Baseline: 181.4 | LR: 9.882478e-06
Epoch 139 | Loss: -0.69 | Avg Makespan: 152.0 | Best: 140.0 | Baseline: 180.9 | LR: 9.880788e-06
Epoch 140 | Loss: 0.38 | Avg Makespan: 151.8 | Best: 127.0 | Baseline: 180.7 | LR: 9.879086e-06
Epoch 141 | Loss: -0.80 | Avg Makespan: 148.5 | Best: 145.0 | Baseline: 180.1 | LR: 9.877372e-06
Epoch 142 | Loss: 1.87 | Avg Makespan: 163.8 | Best: 150.0 | Baseline: 180.8 | LR: 9.875646e-06
Epoch 143 | Loss: 0.46 | Avg Makespan: 155.0 | Best: 151.0 | Baseline: 180.8 | LR: 9.873908e-06
Epoch 144 | Loss: 1.89 | Avg Makespan: 162.5 | Best: 151.0 | Baseline: 181.2 | LR: 9.872158e-06
Epoch 145 | Loss: 1.18 | Avg Makespan: 152.8 | Best: 143.0 | Baseline: 181.7 | LR: 9.870397e-06
Epoch 146 | Loss: 0.49 | Avg Makespan: 157.8 | Best: 155.0 | Baseline: 181.7 | LR: 9.868623e-06
Epoch 147 | Loss: 0.84 | Avg Makespan: 154.8 | Best: 146.0 | Baseline: 181.8 | LR: 9.866838e-06
Epoch 148 | Loss: 0.84 | Avg Makespan: 154.5 | Best: 149.0 | Baseline: 182.0 | LR: 9.865040e-06
Epoch 149 | Loss: 0.64 | Avg Makespan: 157.0 | Best: 155.0 | Baseline: 182.1 | LR: 9.863231e-06
Epoch 150 | Loss: 1.48 | Avg Makespan: 149.8 | Best: 139.0 | Baseline: 182.5 | LR: 9.861410e-06
Epoch 151 | Loss: 0.45 | Avg Makespan: 144.0 | Best: 135.0 | Baseline: 182.4 | LR: 9.859577e-06
Epoch 152 | Loss: -1.38 | Avg Makespan: 144.2 | Best: 138.0 | Baseline: 181.6 | LR: 9.857732e-06
Epoch 153 | Loss: 0.73 | Avg Makespan: 143.5 | Best: 134.0 | Baseline: 181.8 | LR: 9.855876e-06
