Epoch,Total_Loss,Link_Loss,Prio_Loss
406,0.44655,0.42572,0.02084
407,0.44269,0.42181,0.02088
408,0.42990,0.40905,0.02085
409,0.43998,0.41900,0.02098
410,0.42909,0.40837,0.02072
411,0.43571,0.41488,0.02082
412,0.44042,0.41951,0.02091
413,0.43486,0.41392,0.02094
414,0.43513,0.41427,0.02086
415,0.43146,0.41059,0.02087
416,0.44585,0.42497,0.02089
417,0.43095,0.40999,0.02096
418,0.43473,0.41362,0.02111
419,0.43381,0.41281,0.02100
420,0.44022,0.41935,0.02087
421,0.43617,0.41528,0.02088
422,0.43504,0.41420,0.02084
423,0.44036,0.41944,0.02092
424,0.42843,0.40740,0.02103
425,0.43646,0.41545,0.02101
426,0.43265,0.41184,0.02081
427,0.43161,0.41043,0.02119
428,0.43479,0.41393,0.02086
429,0.44717,0.42629,0.02088
430,0.42448,0.40362,0.02086
431,0.43465,0.41370,0.02095
432,0.43815,0.41721,0.02095
433,0.43227,0.41135,0.02092
434,0.43426,0.41306,0.02120
435,0.43202,0.41112,0.02090
436,0.43350,0.41261,0.02090
437,0.43607,0.41505,0.02101
438,0.42932,0.40840,0.02092
439,0.43238,0.41138,0.02100
440,0.43300,0.41224,0.02076
441,0.42775,0.40677,0.02098
442,0.43731,0.41634,0.02097
443,0.43094,0.41004,0.02089
444,0.42901,0.40811,0.02090
445,0.42904,0.40813,0.02090
446,0.43080,0.40968,0.02112
447,0.43782,0.41677,0.02106
448,0.42141,0.40047,0.02094
449,0.42709,0.40619,0.02090
450,0.42985,0.40897,0.02089
451,0.43075,0.40968,0.02107
452,0.42450,0.40361,0.02089
453,0.41853,0.39768,0.02085
454,0.43142,0.41052,0.02090
455,0.42724,0.40635,0.02089
456,0.42852,0.40754,0.02098
457,0.42509,0.40420,0.02090
458,0.42731,0.40632,0.02099
459,0.43179,0.41079,0.02099
460,0.41998,0.39896,0.02101
461,0.43026,0.40933,0.02093
462,0.42575,0.40467,0.02108
463,0.42745,0.40639,0.02106
464,0.42877,0.40786,0.02090
465,0.42981,0.40874,0.02107
466,0.42861,0.40767,0.02094
467,0.43008,0.40902,0.02106
468,0.41704,0.39606,0.02098
469,0.43493,0.41397,0.02096
470,0.42589,0.40488,0.02101
471,0.41894,0.39787,0.02107
472,0.43116,0.41018,0.02098
473,0.42604,0.40483,0.02121
474,0.41940,0.39842,0.02098
475,0.42648,0.40540,0.02107
476,0.42648,0.40548,0.02100
477,0.41143,0.39051,0.02092
478,0.42650,0.40548,0.02103
479,0.42423,0.40325,0.02098
480,0.42491,0.40381,0.02110
481,0.42120,0.40022,0.02098
482,0.42090,0.40001,0.02090
483,0.41811,0.39719,0.02091
484,0.42034,0.39882,0.02152
485,0.42744,0.40640,0.02103
486,0.41537,0.39416,0.02121
487,0.40569,0.38464,0.02105
488,0.41782,0.39679,0.02103
489,0.41815,0.39706,0.02109
490,0.41410,0.39296,0.02114
491,0.42010,0.39894,0.02116
492,0.41756,0.39646,0.02109
493,0.41297,0.39197,0.02100
494,0.41868,0.39765,0.02103
495,0.41094,0.38997,0.02097
496,0.41293,0.39196,0.02097
497,0.40974,0.38882,0.02092
498,0.41269,0.39181,0.02088
499,0.41873,0.39775,0.02098
500,0.41441,0.39345,0.02096
501,0.41058,0.38958,0.02100
502,0.41728,0.39624,0.02103
503,0.41016,0.38922,0.02093
504,0.41094,0.38997,0.02096
505,0.41730,0.39607,0.02122
506,0.40959,0.38858,0.02101
507,0.41431,0.39318,0.02113
508,0.40943,0.38844,0.02099
509,0.41166,0.39061,0.02105
510,0.41617,0.39504,0.02114
511,0.40977,0.38845,0.02132
512,0.41029,0.38921,0.02108
513,0.40514,0.38394,0.02120
514,0.41898,0.39784,0.02114
515,0.40613,0.38498,0.02115
516,0.40929,0.38825,0.02104
517,0.40876,0.38764,0.02112
518,0.41187,0.39072,0.02116
519,0.41061,0.38935,0.02126
520,0.40806,0.38695,0.02111
521,0.40110,0.38006,0.02104
522,0.41344,0.39216,0.02129
523,0.41476,0.39365,0.02112
524,0.40640,0.38521,0.02119
525,0.40983,0.38870,0.02113
526,0.40678,0.38568,0.02110
527,0.39960,0.37844,0.02116
528,0.40413,0.38298,0.02115
529,0.39858,0.37744,0.02113
530,0.39693,0.37580,0.02113
531,0.40322,0.38205,0.02118
532,0.40418,0.38311,0.02107
533,0.40097,0.37993,0.02104
534,0.39976,0.37865,0.02111
535,0.40056,0.37948,0.02108
536,0.39809,0.37679,0.02130
537,0.39775,0.37642,0.02133
538,0.39917,0.37794,0.02122
539,0.39375,0.37252,0.02123
540,0.39385,0.37270,0.02115
541,0.39942,0.37822,0.02120
542,0.39396,0.37269,0.02127
543,0.39397,0.37281,0.02116
544,0.40296,0.38175,0.02120
545,0.40296,0.38186,0.02110
546,0.39424,0.37307,0.02116
547,0.38913,0.36794,0.02119
548,0.38967,0.36842,0.02125
549,0.39000,0.36852,0.02148
550,0.39348,0.37245,0.02102
551,0.39897,0.37772,0.02124
552,0.39363,0.37234,0.02130
553,0.38767,0.36644,0.02123
554,0.39558,0.37422,0.02136
555,0.39243,0.37115,0.02128
556,0.38828,0.36717,0.02111
557,0.38045,0.35912,0.02133
558,0.38817,0.36677,0.02140
559,0.38343,0.36226,0.02117
560,0.39285,0.37162,0.02123
561,0.38219,0.36109,0.02110
562,0.38817,0.36698,0.02119
563,0.37995,0.35874,0.02120
564,0.38541,0.36420,0.02121
565,0.38505,0.36397,0.02108
566,0.38184,0.36062,0.02122
567,0.38322,0.36205,0.02117
568,0.38415,0.36271,0.02144
569,0.37853,0.35722,0.02131
570,0.38213,0.36089,0.02124
571,0.37267,0.35140,0.02127
572,0.38685,0.36559,0.02126
573,0.38196,0.36073,0.02123
574,0.37540,0.35411,0.02128
575,0.37342,0.35205,0.02137
576,0.37779,0.35671,0.02108
577,0.38396,0.36262,0.02134
578,0.37000,0.34869,0.02131
579,0.37365,0.35215,0.02150
580,0.37366,0.35236,0.02129
581,0.37317,0.35201,0.02116
582,0.37010,0.34894,0.02116
583,0.37730,0.35595,0.02134
584,0.37136,0.34998,0.02138
585,0.37558,0.35431,0.02127
586,0.37484,0.35354,0.02130
587,0.36724,0.34603,0.02121
588,0.36797,0.34664,0.02133
589,0.36442,0.34301,0.02142
590,0.36800,0.34675,0.02124
591,0.36595,0.34457,0.02137
592,0.36780,0.34622,0.02158
593,0.36359,0.34231,0.02128
